role,layer,course,topic-id,topic-number,topic-name,md-path,src-path
lesson,71,CA2,317,1.5.1,Introduction to Integration by Parts,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.5. Integration by Parts/Lessons/1.5.1. Introduction to Integration by Parts.md,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.5. Integration by Parts/Source/1.5.1. Introduction to Integration by Parts
lesson,72,CA2,1140,1.5.2,Using Integration by Parts to Calculate Integrals With Logarithms,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.5. Integration by Parts/Lessons/1.5.2. Using Integration by Parts to Calculate Integrals With Logarithms.md,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.5. Integration by Parts/Source/1.5.2. Using Integration by Parts to Calculate Integrals With Logarithms
lesson,73,CA2,416,1.5.3,Applying the Integration By Parts Twice,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.5. Integration by Parts/Lessons/1.5.3. Applying the Integration By Parts Twice.md,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.5. Integration by Parts/Source/1.5.3. Applying the Integration By Parts Twice
lesson,74,CA2,424,1.5.5,Integration by Parts in Cyclic Cases,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.5. Integration by Parts/Lessons/1.5.5. Integration by Parts in Cyclic Cases.md,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.5. Integration by Parts/Source/1.5.5. Integration by Parts in Cyclic Cases
prerequisite,43,MF2,1036,12.3.3,The Chain Rule With Logarithmic Functions,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.3. Differentiating Composite Functions/Lessons/12.3.3. The Chain Rule With Logarithmic Functions.md,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.3. Differentiating Composite Functions/Source/12.3.3. The Chain Rule With Logarithmic Functions
prerequisite,43,MF2,305,12.3.4,The Chain Rule With Trigonometric Functions,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.3. Differentiating Composite Functions/Lessons/12.3.4. The Chain Rule With Trigonometric Functions.md,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.3. Differentiating Composite Functions/Source/12.3.4. The Chain Rule With Trigonometric Functions
prerequisite,51,MF3,478,10.1.8,Integrating Trigonometric Functions Using Substitution,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Lessons/10.1.8. Integrating Trigonometric Functions Using Substitution.md,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Source/10.1.8. Integrating Trigonometric Functions Using Substitution
prerequisite,52,MF3,3770,10.1.7,Integrating Exponential Functions Using Substitution,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Lessons/10.1.7. Integrating Exponential Functions Using Substitution.md,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Source/10.1.7. Integrating Exponential Functions Using Substitution
