unit-id,unit-code,unit-name
818,DSM.1,Preliminaries
695,DSM.2,Boolean Algebra
693,DSM.3,Number Theory
689,DSM.4,Probability & Combinatorics
690,DSM.5,Sequences
1092,DSM.6,Recursion
691,DSM.7,Graph Theory
696,DSM.8,The Theory of Algorithms
418,MOP.1,Logic
779,MOP.2,Set Theory
419,MOP.3,Mathematical Proof
686,MOP.4,Discrete Mathematics & Number Theory
781,MOP.5,Sequences & Functions
423,MOP.6,Congruence of Integers
823,MOP.7,Equivalence Relations
