unit-id,unit-code,unit-name
63,MVC.1,Vector Functions and Vector Fields
65,MVC.2,Multivariable Functions
66,MVC.3,Multiple Integrals
67,MVC.4,Line Integrals
777,MVC.5,Surface Integrals
775,MVC.6,Applications of Multivariable Calculus
23,DEQ.1,First-Order Differential Equations
1234,DEQ.2,Modeling With First-Order Differential Equations
24,DEQ.3,Linear Differential Equations
27,DEQ.4,Systems of Differential Equations
25,DEQ.5,Laplace Transforms
349,DEQ.6,Boundary Value Problems
26,DEQ.7,Approximating Solutions to Differential Equations
467,PAS.1,Probability & Random Variables
468,PAS.2,Expectation
278,PAS.3,Discrete Probability Distributions
279,PAS.4,Continuous Probability Distributions
280,PAS.5,Combining Random Variables
282,PAS.6,Parametric Inference
824,PAS.7,Confidence Intervals
831,PAS.8,Hypothesis Testing
1036,PAS.9,Regression
281,PAS.10,Nonparametric Inference
684,LAL.1,Preliminaries
185,LAL.2,Matrices
188,LAL.3,Vector Spaces
186,LAL.4,Linear Transformations
353,LAL.5,Diagonalization of Matrices
189,LAL.6,Projections
301,LAL.7,Quadratic Forms
190,LAL.8,Applications of Linear Algebra
