layer,course,topic-id,topic-number,topic-name
7,MF1,3679,3.1.3,Subtracting a Positive Fraction From a Smaller Fraction
7,MF1,3680,3.1.4,Subtracting a Positive Decimal From a Smaller Decimal
8,MF1,329,3.1.5,Adding a Positive Number to a Negative Number
9,MF1,328,3.1.6,Adding a Negative Number
9,MF1,297,3.1.7,Subtracting a Negative Number
10,MF1,524,3.1.8,Additive Inverses of Numbers
10,MF1,1131,3.1.9,Solving Problems Using Addition and Subtraction of Rational Numbers
5,MF1,2281,3.1.10,Absolute Value
5,MF1,298,3.2.1,Multiplying Positive Numbers With Negative Numbers
6,MF1,3718,3.2.2,Multiplying Negative Numbers
7,MF1,330,3.2.3,Dividing With Negative Numbers
8,MF1,4136,3.2.4,Equivalent Fractions With Negative Numbers
9,MF1,3719,3.2.5,Dividing With Negative Decimals and Fractions
13,MF1,2202,3.2.6,Reciprocals of Rational Numbers
9,MF1,299,3.2.7,Multiplying and Dividing With Zero
18,MF1,323,3.2.8,Fractions of Fractions
11,MF1,1024,3.2.9,Solving Problems Using the Four Operations on Rational Numbers
15,MF1,2805,3.3.1,"Divisibility of Integers by 2, 5, 10, 4, and 8"
16,MF1,3543,3.3.2,"Divisibility of Integers by 3, 9, 6, and 7"
16,MF1,840,3.3.3,Prime and Composite Numbers
17,MF1,829,3.3.4,Prime Factors
18,MF1,4250,3.3.5,The Fundamental Theorem of Arithmetic
19,MF1,811,3.3.6,Finding Greatest Common Factors Using Prime Factorization
19,MF1,755,3.3.7,Finding Lowest Common Multiples Using Prime Factorization
18,MF1,2558,3.3.8,"Natural Numbers, Integers, and Rational Numbers"
19,MF1,2564,3.3.9,Writing Repeating Decimals as Fractions
11,MF1,2314,4.1.1,Introduction to Exponents
12,MF1,2321,4.1.2,Evaluating Exponents
13,MF1,3537,4.1.3,Evaluating Larger Exponents
14,MF1,2476,4.1.4,Evaluating Exponents With Fractional Bases
14,MF1,2477,4.1.5,Evaluating Exponents With Decimal Bases
14,MF1,2475,4.1.6,Evaluating Whole Number Expressions Containing Exponents
10,MF1,2174,4.1.7,Squaring Rational Numbers
11,MF1,2195,4.1.8,Cubing Rational Numbers
12,MF1,125,4.1.9,Exponents With Rational Bases
13,MF1,322,4.1.10,The Zeroth Power
14,MF1,652,4.1.11,Powers of Negative One
15,MF1,3561,4.1.12,Negative Exponents
16,MF1,267,4.2.1,The Product Rule for Exponents
23,MF1,1223,4.2.2,The Quotient Rule for Exponents
17,MF1,1224,4.2.3,The Power Rule for Exponents
23,MF1,2012,4.2.4,The Power of Product Rule for Exponents
23,MF1,1289,4.2.5,The Power of Quotient Rule for Exponents
24,MF1,1457,4.2.6,Combining the Rules of Exponents
10,MF1,2561,4.3.1,Evaluating Rational Number Expressions Without Exponents
15,MF1,121,4.3.2,Evaluating Expressions With Positive Integer Exponents
16,MF1,1987,4.3.3,Evaluating Expressions With Integer Exponents
13,MF1,1822,4.4.1,The Square Root of a Perfect Square
14,MF1,3552,4.4.2,Squaring a Square Root
15,MF1,1819,4.4.3,The Cube Root of a Perfect Cube
16,MF1,2204,4.4.4,Surds
17,MF1,3709,4.4.5,Simplifying Expressions With Surds
17,MF1,589,4.4.6,Evaluating Numerical Expressions Containing Radicals
24,MF1,484,4.4.7,Adding and Subtracting Radicals
24,MF1,1318,4.4.8,Rationalizing Denominators
18,MF1,2607,4.5.1,Radicals as Fractional Exponents
23,MF1,1927,4.5.2,The Product Rule for Radicals
23,MF1,2240,4.5.3,The Quotient Rule for Radicals
7,MF1,63,5.1.1,Introduction to Algebraic Expressions
8,MF1,3721,5.1.2,Constructing Algebraic Expressions
11,MF1,64,5.1.3,Evaluating Linear Expressions
16,MF1,2183,5.1.4,Evaluating Rational Expressions
9,MF1,643,5.1.5,Identifying Terms in Linear Expressions
10,MF1,645,5.1.6,Identifying Coefficients and Constants
20,MF1,85,5.1.7,The Greatest Common Factor of Two Linear Expressions
11,MF1,644,5.2.1,Identifying Like Terms in Linear Expressions
12,MF1,134,5.2.2,Collecting Like Terms in Linear Expressions
15,MF1,135,5.2.3,Applying the Distributive Law With Linear Expressions
16,MF1,3847,5.2.4,The Distributive Law With Three Terms
17,MF1,137,5.2.5,Distributing the Negative Sign in a Linear Expression
22,MF1,138,5.2.6,Simplifying Linear Expressions Using the Distributive Law
23,MF1,3873,5.2.7,Simplifying Linear Expressions When a Group of Terms Is Subtracted
23,MF1,2244,5.2.8,Simplifying Linear Expressions Containing Fractions
21,MF1,87,5.2.9,Factoring Linear Expressions
12,MF1,1412,5.3.1,Solving Linear Equations by Trial and Error
13,MF1,65,5.3.2,Solving One-Step Addition and Subtraction Equations
13,MF1,40,5.3.3,Solving One-Step Multiplication and Division Equations
14,MF1,66,5.4.1,Solving Two-Step Equations
15,MF1,67,5.4.2,Solving Linear Equations With Fractional Coefficients
15,MF1,2270,5.4.3,Solving Linear Equations With Decimal Coefficients
16,MF1,343,5.4.4,Solving Linear Equations With Variables on Both Sides
17,MF1,651,5.4.5,Solving Linear Equations by Clearing a Rational Expression
18,MF1,1413,5.4.6,Solving Linear Equations Using Cross-Multiplication
19,MF1,356,5.4.7,Solving Two-Variable Equations
25,MF1,1414,5.4.8,Linear Equations With Infinitely Many Solutions
25,MF1,5572,5.4.9,Linear Equations With No Solutions
20,MF1,3747,5.4.10,Solving Linear Equations With Unknown Coefficients
23,MF1,3752,5.4.11,Solving Linear Equations With Unknown Coefficients by Factoring
24,MF1,354,5.4.12,Solving Many-Variable Equations
18,MF1,2213,5.5.1,Interpreting Linear Expressions
19,MF1,426,5.5.2,Modeling With Linear Equations
12,MF1,178,5.6.1,Inequalities
17,MF1,2310,5.6.2,Compound Inequalities
18,MF1,387,5.6.3,Verifying Solutions of Linear Inequalities
19,MF1,38,5.6.4,Solving One-Step Linear Inequalities
20,MF1,4021,5.6.5,Solving Two-Step Inequalities
21,MF1,4031,5.6.6,Representing Solutions to Inequalities on Number Lines
29,MF1,4034,5.6.7,Further Solving Linear Inequalities
30,MF1,388,5.6.8,Solving Compound Inequalities
18,MF1,239,5.6.9,Interval Notation
20,MF1,4028,5.6.10,Unbounded Intervals
22,MF1,458,5.6.11,Unions of Intervals
21,MF1,347,5.6.12,Intersections of Intervals
31,MF1,1576,5.6.13,Compound OR Inequalities
36,MF1,350,5.6.14,Compound AND Inequalities
24,MF1,430,5.7.1,Solving Equations Using the Square Root Method
26,MF1,3748,5.7.2,Solving Equations With Odd Exponents Using the Nth Root Method
27,MF1,1587,5.7.3,Solving Equations With Even Exponents Using the Nth Root Method
15,MF1,92,6.1.1,The Cartesian Coordinate System
18,MF1,573,6.1.2,Distances Between Points in the Coordinate Plane
16,MF1,94,6.1.3,Two-Variable Linear Equations and Their Solutions
17,MF1,95,6.1.4,Graphing Linear Equations
18,MF1,97,6.1.5,Horizontal and Vertical Lines
19,MF1,396,6.1.6,Calculating Slopes of Straight Lines
20,MF1,1240,6.1.7,Equations of Lines in Slope-Intercept Form
21,MF1,398,6.1.8,Properties of Lines Given in Slope-Intercept Form
24,MF1,418,6.1.9,Equations of Lines in Point-Slope Form
25,MF1,839,6.1.10,Equations of Lines in Standard Form
29,MF1,3725,6.1.11,Properties of Lines Given in Standard Form
30,MF1,837,6.1.12,Parallel Lines in the Coordinate Plane
20,MF1,653,6.2.1,Modeling With Linear Equations in Two Variables
21,MF1,1588,6.2.2,Analyzing and Interpreting Graphs of Linear Equations
22,MF1,3765,6.2.3,Further Modeling With Linear Equations in Two Variables
26,MF1,1589,6.2.4,Distance-Time Graphs
32,MF1,2327,6.2.5,Speed-Time Graphs
33,MF1,1590,6.2.6,Calculating Distance From a Speed-Time Graph
27,MF1,2225,6.3.1,Introduction to Systems of Linear Equations
30,MF1,487,6.3.2,Solving Systems of Equations by Substitution
28,MF1,742,6.3.3,Introduction to the Elimination Method
29,MF1,4026,6.3.4,Solving Systems of Linear Equations Using Elimination: One Transformation
30,MF1,4236,6.3.5,Solving Systems of Linear Equations Using Elimination: Two Transformations
31,MF1,1045,6.3.6,Systems of Linear Equations With Fractional Coefficients
31,MF1,1081,6.3.7,Systems of Linear Equations With Decimal Coefficients
28,MF1,101,6.3.8,Solving Systems of Nonlinear Equations Using Graphs
32,MF1,493,6.3.9,Systems of Equations With No Solutions and Infinitely Many Solutions
39,MF1,4638,6.3.10,Consistency and Dependency in Linear Systems
31,MF1,408,6.3.11,Calculating the Intersection of Two Lines
24,MF1,380,7.1.1,Writing Radical Expressions Using Fractional Exponents
22,MF1,376,7.1.2,The Square Root of a Perfect Square With Algebraic Expressions
23,MF1,3729,7.1.3,The Square Root of a Perfect Square With Domain Restrictions
23,MF1,381,7.1.4,The Cube Root of a Perfect Cube With Algebraic Expressions
24,MF1,389,7.1.5,Simplifying Square Root Expressions Using the Product Rule
25,MF1,390,7.1.6,Simplifying Square Root Expressions Using the Quotient Rule
24,MF1,3848,7.1.7,Combining Radical Expressions Using the Product Rule
24,MF1,2184,7.1.8,Evaluating Algebraic Radical Expressions
25,MF1,3756,7.1.9,Adding and Subtracting Radical Expressions
16,MF1,1297,7.2.1,Equivalent Expressions With Fractions
17,MF1,68,7.2.2,Simplifying Rational Expressions
22,MF1,423,7.2.3,Simplifying Rational Expressions by Factoring
30,MF1,355,7.2.4,Splitting Rational Expressions Into Separate Terms
20,MF1,1415,7.3.1,Solving Rational Equations Containing One Fractional Term
23,MF1,698,7.3.2,Solving Rational Equations Using Cross-Multiplication
24,MF1,3555,7.3.3,Solving Rational Equations Containing Binomials Using Cross-Multiplication
37,MF1,266,7.3.4,Solving Rational Equations Using the Flip Method
18,MF1,470,8.1.1,Introduction to Functions
21,MF1,631,8.1.2,Visual Representations of Functions
22,MF1,3821,8.1.3,Graphs of Functions
23,MF1,802,8.1.4,The Domain of a Function
28,MF1,1888,8.1.5,Global Extrema of Functions
31,MF1,2048,8.1.6,End Behavior of Functions
30,MF1,754,8.1.7,The Range of a Function
32,MF1,3728,8.1.8,The Range of a Function: Advanced Cases
30,MF1,2022,8.1.9,The Roots of a Function
31,MF1,1628,8.1.10,Increasing and Decreasing Functions
25,MF1,165,8.1.11,Piecewise Functions
23,MF1,2220,8.1.12,Modeling With Linear Functions
24,MF1,6219,8.1.13,Constructing Linear Functions
17,MF1,96,9.1.1,Absolute Value Expressions
21,MF1,75,9.1.2,Rules of Absolute Value
22,MF1,3536,9.1.3,Further Rules of Absolute Value
18,MF1,384,9.1.4,Absolute Value Equations
23,MF1,4029,9.1.5,Further Absolute Value Equations
32,MF1,451,9.1.6,Absolute Value Inequalities
26,MF1,790,9.1.7,Absolute Value Graphs
27,MF1,452,9.1.8,Vertical Reflections of Absolute Value Graphs
28,MF1,1244,9.1.9,Stretches of Absolute Value Graphs
29,MF1,3559,9.1.10,Combining Transformations of Absolute Value Graphs
33,MF1,1884,9.1.11,Domain and Range of Absolute Value Functions
20,MF1,71,10.1.1,The Product Rule for Exponents With Algebraic Expressions
24,MF1,374,10.1.2,The Quotient Rule for Exponents With Algebraic Expressions
25,MF1,362,10.1.3,The Power Rule for Exponents With Algebraic Expressions
26,MF1,1331,10.1.4,The Power of Product Rule With Algebraic Expressions
27,MF1,1428,10.1.5,The Power of Quotient Rule With Algebraic Expressions
28,MF1,1417,10.1.6,Combining the Rules of Exponents With Algebraic Expressions
23,MF1,391,10.2.1,Solving Exponential Equations
13,MF1,1499,10.2.2,Creating Exponential Growth Expressions
14,MF1,142,10.2.3,Creating Exponential Decay Expressions
24,MF1,1153,10.3.1,Exponential Functions
25,MF1,2471,10.3.2,Modeling Exponential Growth With Functions
26,MF1,2465,10.3.3,Interpreting Exponential Growth
27,MF1,2464,10.3.4,Solving Exponential Growth Problems
25,MF1,2472,10.3.5,Modeling Exponential Decay With Functions
26,MF1,1629,10.3.6,Interpreting Exponential Decay
27,MF1,2466,10.3.7,Solving Exponential Decay Problems
33,MF1,1530,10.3.8,Graphing Exponential Growth Functions
33,MF1,1531,10.3.9,Graphing Exponential Decay Functions
19,MF1,655,11.1.1,Introduction to Polynomials
20,MF1,657,11.1.2,The Degree of a Polynomial
21,MF1,1783,11.1.3,Simplifying Polynomials
22,MF1,349,11.1.4,The Distributive Law for Polynomials
22,MF1,81,11.1.5,Adding and Subtracting Polynomials
23,MF1,79,11.1.6,"Monomials, Binomials and Trinomials"
24,MF1,371,11.1.7,Multiplying Binomials
30,MF1,361,11.1.8,Multiplying Polynomials
25,MF1,360,11.1.9,Squaring Binomials
27,MF1,1157,11.1.10,Expanding Binomials Using Pascal's Triangle
25,MF1,2275,11.1.11,The Difference of Squares Formula
24,MF1,2181,11.2.1,The Greatest Common Factor of Two Monomials
25,MF1,353,11.2.2,Factoring Polynomials Using GCFs
26,MF1,352,11.2.3,Factoring Perfect Square Trinomials
28,MF1,382,11.2.4,Factoring Perfect Square Trinomials With Leading Coefficients
26,MF1,370,11.2.5,Factoring Differences of Squares
27,MF1,89,11.2.6,Factoring Trinomials
28,MF1,3577,11.2.7,Factoring Trinomials Using Common Factors
28,MF1,372,11.2.8,Factoring Trinomials With Leading Coefficients
29,MF1,4951,11.2.9,Further Factoring Trinomials With Leading Coefficients
15,MF1,1378,12.1.1,"Points, Lines, Rays, and Segments"
20,MF1,3979,12.1.2,Parallel and Perpendicular Lines
20,MF1,1379,12.1.3,Measures of Segments
21,MF1,1462,12.1.4,Congruent Segments
21,MF1,1463,12.1.5,Midpoints
16,MF1,1500,12.1.6,Collinear Points
24,MF1,2278,12.1.7,The Segment Addition Postulate
16,MF1,2172,12.2.1,Angles and Measures of Angles
17,MF1,3980,12.2.2,Measuring Angles Using a Protractor
17,MF1,1505,12.2.3,Sums of Angles
18,MF1,1509,12.2.4,"Right, Straight, Full, and Null Angles"
19,MF1,1510,12.2.5,"Acute, Obtuse, and Reflex Angles"
18,MF1,3554,12.2.6,Congruent Angles
19,MF1,1507,12.2.7,Vertical Angles
20,MF1,1437,12.2.8,Solving Problems With Angles
31,MF1,1639,12.3.1,Complementary Angles
32,MF1,6207,12.3.2,Non-Adjacent Complementary Angles
21,MF1,1511,12.3.3,Supplementary Angles
21,MF1,421,12.3.4,Corresponding Angles
22,MF1,4019,12.3.5,Alternate Angles
23,MF1,4104,12.3.6,Consecutive Angles
22,MF1,1508,12.3.7,Angle Bisectors
22,MF1,521,12.3.8,Segment Bisectors and the Perpendicular Bisector Theorem
26,MF1,1404,12.4.1,Circles
27,MF1,3565,12.4.2,"Arcs, Segments, and Sectors of Circles"
27,MF1,460,12.4.3,The Circumference of a Circle
28,MF1,1745,12.4.4,Areas of Circles
21,MF1,496,13.1.1,Interior Angles of Triangles
22,MF1,1458,13.1.2,Exterior Angles of Triangles
23,MF1,1601,13.1.3,Classifying Triangles
19,MF1,766,13.1.4,The Triangle Inequality
24,MF1,1403,13.1.5,The Isosceles Triangle Theorem
24,MF1,1644,13.1.6,Heights of Triangles
25,MF1,433,13.1.7,The Pythagorean Theorem
26,MF1,263,13.1.8,Isosceles Right Triangles
26,MF1,262,13.1.9,30-60-90 Triangles
21,MF1,1317,13.2.1,Polygons
22,MF1,1319,13.2.2,Interior Angles of Polygons
23,MF1,1321,13.2.3,Exterior Angles of Polygons
26,MF1,1515,13.2.4,Congruent Polygons
24,MF1,1322,13.2.5,Regular Polygons
25,MF1,1386,13.2.6,The Perimeter of a Polygon
22,MF1,1459,13.2.7,Classifying Quadrilaterals
26,MF1,1461,13.2.8,Properties of Rectangles and Squares
27,MF1,1352,13.3.1,Areas of Rectangles and Squares
28,MF1,1397,13.3.2,Areas of Triangles
32,MF1,1353,13.3.3,Areas of Trapezoids
33,MF1,1468,13.3.4,Areas and Perimeters of Composite Shapes
28,MF2,813,1.1.1,Introduction to Quadratic Equations
29,MF2,1423,1.1.2,Solving Perfect Square Quadratic Equations
30,MF2,1425,1.1.3,Perfect Square Quadratic Equations with One or No Solutions
29,MF2,1424,1.1.4,The Zero Product Rule for Solving Quadratic Equations
31,MF2,394,1.1.5,Solving Quadratic Equations Using a Difference of Squares
31,MF2,393,1.1.6,Solving Quadratic Equations with No Constant Term
30,MF2,375,1.1.7,Solving Quadratic Equations by Factoring
31,MF2,1422,1.1.8,Solving Quadratic Equations with Leading Coefficients by Factoring
31,MF2,450,1.1.9,Completing the Square
32,MF2,3842,1.1.10,Completing the Square With Odd Linear Terms
33,MF2,3824,1.1.11,Completing the Square With Leading Coefficients
32,MF2,419,1.1.12,Solving Quadratic Equations by Completing the Square
34,MF2,3849,1.1.13,Solving Quadratic Equations With Leading Coefficients by Completing the Square
31,MF2,422,1.1.14,The Quadratic Formula
32,MF2,425,1.1.15,The Discriminant of a Quadratic Equation
33,MF2,6266,1.1.16,Determining Unknown Parameters in Quadratic Equations With One Real Solution
26,MF2,6092,1.1.17,Equating Polynomial Coefficients
32,MF2,729,1.1.18,Vieta's Formulas
29,MF2,453,1.2.1,Graphing Elementary Quadratic Functions
30,MF2,117,1.2.2,Vertical Reflections of Quadratic Functions
31,MF2,84,1.2.3,Graphs of General Quadratic Functions
32,MF2,661,1.2.4,Roots of Quadratic Functions
33,MF2,1429,1.2.5,The Discriminant of a Quadratic Function
32,MF2,704,1.2.6,The Axis of Symmetry of a Parabola
33,MF2,1451,1.2.7,The Average of the Roots Formula
33,MF2,814,1.2.8,The Vertex Form of a Parabola
34,MF2,3546,1.2.9,Writing the Equation of a Parabola in Vertex Form
34,MF2,1882,1.2.10,Domain and Range of Quadratic Functions
33,MF2,410,1.2.11,Solving Systems of Nonlinear Equations
34,MF2,6341,1.2.12,Finding Intersections of Lines and Quadratic Functions
35,MF2,3830,1.2.13,Inverses of Quadratic Functions
33,MF2,688,1.2.14,Modeling Downwards Vertical Motion
31,MF2,942,2.1.1,Closure Properties of Polynomials
24,MF2,2625,2.1.2,The Least Common Multiple of Two Monomials
29,MF2,2626,2.1.3,The Least Common Multiple of Two Polynomials
31,MF2,469,2.1.4,Determining the Roots of Polynomials
32,MF2,480,2.1.5,Solving Polynomial Equations Using the GCF
33,MF2,727,2.1.6,Solving Cubic Equations by Grouping
32,MF2,1653,2.1.7,Graphing Elementary Cubic Functions
38,MF2,2050,2.1.8,End Behavior of Polynomials
30,MF2,2337,2.2.1,Further Factoring of Polynomials Using GCFs
30,MF2,660,2.2.2,Factoring Higher-Order Polynomials as a Difference of Squares
31,MF2,428,2.2.3,Factoring Cubic Expressions by Grouping
29,MF2,441,2.2.4,Factoring Sums and Differences of Cubes
30,MF2,2336,2.2.5,Factoring Biquadratic Expressions
32,MF2,728,2.3.1,Dividing Polynomials Using Synthetic Division
32,MF2,2013,2.3.2,Dividing Polynomials by Linear Binomials Using Long Division
37,MF2,427,2.3.3,Dividing Polynomials Using Long Division
33,MF2,2883,2.3.4,Dividing Polynomials by Manipulating Rational Expressions
33,MF2,846,2.4.1,The Factor Theorem
34,MF2,3738,2.4.2,Determining Polynomial Coefficients Using the Factor Theorem
34,MF2,2119,2.4.3,Factoring Cubic Polynomials Using the Factor Theorem
37,MF2,104,2.4.4,Factoring Quartic Polynomials Using the Factor Theorem
35,MF2,88,2.4.5,Multiplicities of the Roots of Polynomials
33,MF2,847,2.4.6,The Remainder Theorem
35,MF2,757,2.4.7,The Rational Roots Theorem
35,MF2,1654,2.5.1,Graphing Cubic Curves Containing Three Distinct Real Roots
36,MF2,1656,2.5.2,Graphing Cubic Curves Containing a Double Root
37,MF2,2084,2.5.3,Graphing Cubic Curves Containing One Distinct Real Root
39,MF2,2049,2.5.4,Graphing General Polynomials
19,MF2,2205,3.1.1,The Real Number System
20,MF2,2034,3.1.2,Sums and Products of Rational and Irrational Numbers
25,MF2,14,3.2.1,Imaginary Numbers
26,MF2,464,3.2.2,Quadratic Equations with Purely Imaginary Solutions
26,MF2,735,3.2.3,Complex Numbers
27,MF2,31,3.2.4,Adding and Subtracting Complex Numbers
28,MF2,33,3.2.5,Multiplying Complex Numbers
33,MF2,895,3.2.6,Solving Quadratic Equations With Complex Roots
26,MF2,32,3.2.7,The Cyclic Property of the Imaginary Unit
30,MF2,157,3.3.1,The Complex Plane
31,MF2,34,3.3.2,The Magnitude of a Complex Number
31,MF2,893,3.3.3,The Argument of a Complex Number
25,MF2,140,4.1.1,The Arithmetic of Functions
25,MF2,1985,4.1.2,Function Composition
26,MF2,3817,4.1.3,Describing Function Composition
34,MF2,2707,4.1.4,Local Extrema of Functions
31,MF2,1886,4.1.5,One-To-One Functions
27,MF2,753,4.1.6,Introduction to Inverse Functions
34,MF2,627,4.1.7,Calculating the Inverse of a Function
32,MF2,756,4.1.8,Graphs of Inverse Functions
33,MF2,3734,4.1.9,Domain and Range of Inverse Functions
33,MF2,1889,4.1.10,Invertible Functions
33,MF2,2978,4.1.11,Plotting X as a Function of Y
36,MF2,2148,4.1.12,Periodic Functions
30,MF2,725,4.1.13,Even and Odd Functions
32,MF2,2046,4.1.14,Unbounded Behavior of Functions Near a Point
30,MF2,1251,4.2.1,Vertical Translations of Functions
31,MF2,1584,4.2.2,Horizontal Translations of Functions
31,MF2,1252,4.2.3,Vertical Stretches of Functions
31,MF2,1586,4.2.4,Horizontal Stretches of Functions
