layer,topic-id,topic-code,topic-name,lesson-path,source-path
56,47,MML.1.1.1,Special Sets,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.1. Special Sets.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.1. Special Sets
57,1976,MML.1.1.2,Equivalent Sets,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.2. Equivalent Sets.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.2. Equivalent Sets
58,46,MML.1.1.3,The Constructive Definition of a Set,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.3. The Constructive Definition of a Set.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.3. The Constructive Definition of a Set
59,4425,MML.1.1.4,The Conditional Definition of a Set,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.4. The Conditional Definition of a Set.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.4. The Conditional Definition of a Set
60,4393,MML.1.1.5,Describing Sets Using Set-Builder Notation,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.5. Describing Sets Using Set-Builder Notation.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.5. Describing Sets Using Set-Builder Notation
65,4392,MML.1.1.6,Describing Planar Regions Using Set-Builder Notation,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.6. Describing Planar Regions Using Set-Builder Notation.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.6. Describing Planar Regions Using Set-Builder Notation
64,948,MML.1.1.7,Indicator Functions,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.7. Indicator Functions.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.7. Indicator Functions
65,3218,MML.1.1.8,Indicator Functions for Predicates,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.8. Indicator Functions for Predicates.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.8. Indicator Functions for Predicates
57,2828,MML.1.2.1,The Difference of Sets,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.2. Set Operations/Lessons/1.2.1. The Difference of Sets.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.2. Set Operations/Source/1.2.1. The Difference of Sets
56,2829,MML.1.2.2,Set Complements,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.2. Set Operations/Lessons/1.2.2. Set Complements.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.2. Set Operations/Source/1.2.2. Set Complements
