unit-id,unit-code,unit-name
1187,MML.1,Set Theory
1188,MML.2,Logic
1174,MML.3,Vectors and Matrices
1175,MML.4,Vector Spaces
1176,MML.5,Diagonalization of Matrices
1177,MML.6,Orthogonality & Projections
1178,MML.7,Singular Value Decomposition
1179,MML.8,Applications of Linear Algebra
1180,MML.9,Multivariable Calculus
1181,MML.10,Probability & Random Variables
1182,MML.11,Combining Random Variables
1183,MML.12,Parametric Inference
