done,sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,layer,min-steps-to-334,max-steps-to-334,direct-prerequisite-ids
0,155,3720,Subtracting a Positive Number From a Negative Number,PAL,PAL.2.1.2,2.1.2,2. The Number System,2.1. Addition and Subtraction of Rational Numbers,17,14,33,2281
0,156,178,Inequalities,PAL,PAL.5.3.1,5.3.1,5. Equations & Inequalities,5.3. Solving Linear Inequalities,17,12,28,2444;3721
0,157,573,Distances Between Points in the Coordinate Plane,PAL,PAL.5.4.2,5.4.2,5. Equations & Inequalities,5.4. Graphs of Linear Equations,17,10,21,92;2281
0,158,541,Multi-Digit by Two-Digit Division Using Partial Quotients,5GM,5GM.2.2.9,2.2.9,2. Multiplying & Dividing Whole Numbers,2.2. Dividing Whole Numbers,18,11,33,258;2425
0,159,2356,Subtracting Mixed Numbers With Unlike Denominators,5GM,5GM.3.3.2,3.3.2,3. Adding & Subtracting Fractions,3.3. Adding and Subtracting Mixed Numbers,18,15,34,2354;2357
0,160,567,Multiplying Fractions: Word Problems,5GM,5GM.4.1.4,4.1.4,4. Multiplying & Dividing Fractions,4.1. Multiplying Fractions,18,16,18,2378
0,161,2459,Multiplying Fractions by Swapping Denominators,5GM,5GM.4.1.5,4.1.5,4. Multiplying & Dividing Fractions,4.1. Multiplying Fractions,18,11,33,2378;2458
0,162,2286,Comparing Decimals,5GM,5GM.5.1.7,5.1.7,5. Decimals,5.1. Decimals,18,11,39,2283;2344;3919;3996
0,163,110,Multiplying Decimals by Powers of Ten Using Place Value,5GM,5GM.6.1.1,6.1.1,6. Multiplying & Dividing Decimals,6.1. Multiplying Decimals,18,13,38,2283;2344
0,164,2403,Understanding Volume Using Unit Cubes,5GM,5GM.9.1.1,9.1.1,9. Geometry,9.1. Volume,18,16,17,236;4198
0,165,536,Three-Digit by One-Digit Division,6GM,6GM.2.1.2,2.1.2,2. The Number System- Whole Number Division,2.1. Dividing Whole Numbers by One-Digit Numbers,18,11,35,535;2425
0,166,2369,Dividing Fractions by Whole Numbers,6GM,6GM.3.1.5,3.1.5,3. The Number System- Dividing Fractions,3.1. Dividing Fractions and Whole Numbers,18,10,32,530;2378;2436
0,167,562,Understanding Percentages Using Models,PAL,PAL.1.4.1,1.4.1,1. Ratios & Percentages,1.4. Percentages,18,18,20,535;2392;3882;3901
0,168,645,Identifying Coefficients and Constants,PAL,PAL.4.1.6,4.1.6,4. Algebraic Expressions,4.1. Algebraic Expressions,18,12,29,643;2357
