row-order,course,course-code,course-profile-mastery-percent,unit,module,topic-id,topic-code,topic-number,topic-name,course-map-index,layer,profile-role,relation-to-334,pre-334-order,min-steps-to-334,max-steps-to-334,direct-prerequisite-ids,direct-profile-topic-ids,estimated-remaining-topic-weight,completed,last-completed-at,mastery-status,mastery-evidence,queue-position,queue-course,queue-prerequisite-for
1,Precalculus,PCL,48,1. Sequences and Series,1.1. Arithmetic Series,673,PCL.1.1.1,1.1.1,Sigma Notation,1,59,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,2271,,0.00,0,,inferred-mastered,prerequisite-of-completed-or-checkmarked-topic,,,
2,Precalculus,PCL,48,1. Sequences and Series,1.1. Arithmetic Series,3958,PCL.1.1.2,1.1.2,Properties of Finite Series,2,65,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,673,673,0.00,0,,inferred-mastered,prerequisite-of-completed-or-checkmarked-topic,,,
3,Precalculus,PCL,48,1. Sequences and Series,1.1. Arithmetic Series,779,PCL.1.1.3,1.1.3,Expressing an Arithmetic Series in Sigma Notation,3,60,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,672;673,673,0.00,1,2026-07-22 17:08,completed,activity-history,,,
4,Precalculus,PCL,48,1. Sequences and Series,1.1. Arithmetic Series,675,PCL.1.1.4,1.1.4,Finding the Sum of an Arithmetic Series,4,61,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,779,779,0.00,1,2026-07-24 19:55,completed,activity-history,,,
5,Precalculus,PCL,48,1. Sequences and Series,1.2. Finite Geometric Series,1016,PCL.1.2.1,1.2.1,The Sum of a Finite Geometric Series,8,61,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,685,,0.00,0,,inferred-mastered,prerequisite-of-completed-or-checkmarked-topic,,,
6,Precalculus,PCL,48,1. Sequences and Series,1.2. Finite Geometric Series,1017,PCL.1.2.3,1.2.3,Writing Geometric Series in Sigma Notation,10,61,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,673;685,673,0.00,1,2026-07-23 23:56,completed,activity-history,,,
7,Precalculus,PCL,48,1. Sequences and Series,1.2. Finite Geometric Series,690,PCL.1.2.4,1.2.4,Sums of Finite Geometric Series Given in Sigma Notation,11,63,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1016;1017,1016;1017,0.00,1,2026-07-24 20:20,completed,activity-history,,,
8,Precalculus,PCL,48,2. Rational Functions,2.1. Rational Expressions and Equations,440,PCL.2.1.3,2.1.3,Rational Equations With Three Terms,21,50,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,435;1414;2625;3555;5572,,0.52,0,,unresolved,,,,
9,Precalculus,PCL,48,2. Rational Functions,2.1. Rational Expressions and Equations,708,PCL.2.1.4,2.1.4,Advanced Rational Equations,22,51,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,440;2626,440,0.52,0,,unresolved,,,,
10,Precalculus,PCL,48,2. Rational Functions,2.2. Rational Functions,133,PCL.2.2.1,2.2.1,Roots of Rational Functions,24,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,428;661;1676,428;1676,0.52,0,,unresolved,,,,
