classification,category-sequence,union-sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,course-map-index,layer,prerequisite-for-target-ids,steps-to-targets,direct-prerequisite-ids,direct-included-prerequisite-ids,completed-at,equivalent-evidence-kinds,equivalent-evidence-distance,equivalent-evidence-topic-ids,equivalent-evidence-topic-names
equivalent,88,88,2417,Multi-Digit by One-Digit Multiplication Using Place Value,4GM,4GM.4.3.4,4.3.4,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,,11,334;331;443;1159,334:16;331:11;443:12;1159:13,2393;2416,2393;2416,,activity-history,3,73,Fibonacci Sequences
equivalent,89,89,2440,Least Common Multiples,4GM,4GM.4.1.5,4.1.5,4. Multiplication,"4.1. Factors, Products, and Multiples",,11,334;331;443;1159,334:17;331:15;443:16;1159:12,2206,2206,,activity-history;activity-history;activity-history,8,355;437;1583,Splitting Rational Expressions Into Separate Terms;Adding and Subtracting Rational Expressions;Solving Exponential Equations With Different Bases
equivalent,90,90,3878,Multiplying Numbers Using Repeated Addition,4GM,4GM.4.2.5,4.2.5,4. Multiplication,4.2. Multiplying Whole Numbers,,11,334;331;443;1159,334:15;331:12;443:13;1159:14,488;2206,488;2206,,activity-history,7,336,The Average Rate of Change of a Function
equivalent,91,91,3883,Rounding Down Whole Numbers,4GM,4GM.2.2.4,2.2.4,2. The Number System,2.2. Comparing Whole Numbers,,11,334;331;443;1159,334:11;331:11;443:12;1159:12,2206;2338;3919,2206;2338;3919,,activity-history;activity-history;activity-history,5,14;37;1753,Imaginary Numbers;The Power and Root Rules for Limits;Volumes of Rectangular Solids
equivalent,92,92,3935,Connecting Factors and Multiples,4GM,4GM.4.1.6,4.1.6,4. Multiplication,"4.1. Factors, Products, and Multiples",,11,334;331;443;1159,334:17;331:14;443:15;1159:12,2206,2206,,activity-history,7,437,Adding and Subtracting Rational Expressions
equivalent,93,93,3951,Writing Unit Fractions in Words,4GM,4GM.6.1.3,6.1.3,6. Fractions & Decimals,6.1. Fractions,,11,334;331;443;1159,334:13;331:10;443:11;1159:11,2206;2366;3885;7003,2206;2366;3885;7003,,activity-history;activity-history,5,459;987,The Distance Formula;Calculating the Equation of a Normal Line Using Differentiation
equivalent,94,94,3952,Division With Remainders,4GM,4GM.5.1.5,5.1.5,5. Division,5.1. Dividing Whole Numbers,,11,334;331;443;1159,334:13;331:9;443:10;1159:11,2206;2390;3949,2206;2390;3949,,activity-history,5,726,The Common Logarithm
equivalent,95,95,530,Dividing Unit Fractions by Whole Numbers,5GM,5GM.4.2.5,4.2.5,4. Multiplying & Dividing Fractions,4.2. Dividing Fractions,,11,334;331;443;1159,334:11;331:12;443:13;1159:12,528;2392,528;2392,,queue-checkmark,5,1589,Distance-Time Graphs
equivalent,96,96,533,Dividing Whole Numbers by Unit Fractions,5GM,5GM.4.2.3,4.2.3,4. Multiplying & Dividing Fractions,4.2. Dividing Fractions,,11,334;331;443;1159,334:11;331:12;443:13;1159:12,529;2392,529;2392,,queue-checkmark,5,1589,Distance-Time Graphs
equivalent,97,97,2321,Evaluating Exponents,6GM,6GM.5.4.2,5.4.2,5. The Number System- Rational Numbers,5.4. Exponents,,11,334;331;443;1159,334:13;331:7;443:8;1159:9,2314;2392,2314;2392,,activity-history,2,1753,Volumes of Rectangular Solids
equivalent,98,98,1509,"Right, Straight, Full, and Null Angles",4GM,4GM.7.3.5,7.3.5,7. Measurement & Data,7.3. Geometry,134,12,1159,1159:10,2172;3951,2172;3951,,activity-history;activity-history,4,459;987,The Distance Formula;Calculating the Equation of a Normal Line Using Differentiation
equivalent,99,99,538,Comparing Fractions,4GM,4GM.6.4.1,6.4.1,6. Fractions & Decimals,6.4. Comparing Fractions,,12,334;331;443;1159,334:16;331:13;443:14;1159:11,2324;3951,2324;3951,,activity-history,6,437,Adding and Subtracting Rational Expressions
equivalent,100,100,2365,Least Common Denominators,4GM,4GM.6.3.3,6.3.3,6. Fractions & Decimals,6.3. Equivalent Fractions,,12,334;331;443;1159,334:16;331:14;443:15;1159:11,2363;2440,2363;2440,,activity-history;activity-history;activity-history,7,355;437;1583,Splitting Rational Expressions Into Separate Terms;Adding and Subtracting Rational Expressions;Solving Exponential Equations With Different Bases
equivalent,101,101,2391,Interpreting Remainders in Context,4GM,4GM.5.1.6,5.1.6,5. Division,5.1. Dividing Whole Numbers,,12,334;331;443;1159,334:14;331:11;443:12;1159:13,3952,3952,,activity-history,5,73,Fibonacci Sequences
equivalent,102,102,3884,Rounding Up Whole Numbers,4GM,4GM.2.2.5,2.2.5,2. The Number System,2.2. Comparing Whole Numbers,,12,334;331;443;1159,334:11;331:11;443:12;1159:12,3883,3883,,activity-history;activity-history;activity-history,5,14;37;1753,Imaginary Numbers;The Power and Root Rules for Limits;Volumes of Rectangular Solids
equivalent,103,103,3898,Interpreting Division Problems as Mixed Numbers,4GM,4GM.6.2.4,6.2.4,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,,12,334;331;443;1159,334:12;331:8;443:9;1159:10,2206;2409;3893;3952;7008,2206;2409;3893;3952;7008,,activity-history,4,726,The Common Logarithm
equivalent,104,104,3933,Multiplying Numbers Using Repeated Subtraction,4GM,4GM.4.2.6,4.2.6,4. Multiplication,4.2. Multiplying Whole Numbers,,12,334;331;443;1159,334:14;331:11;443:12;1159:13,3878;3908,3878;3908,,activity-history,6,336,The Average Rate of Change of a Function
equivalent,105,105,3959,Writing Fractions in Words,4GM,4GM.6.1.4,6.1.4,6. Fractions & Decimals,6.1. Fractions,,12,334;331;443;1159,334:15;331:9;443:10;1159:11,3951,3951,,activity-history;activity-history,5,425;485,The Discriminant of a Quadratic Equation;Midpoints in the Coordinate Plane
equivalent,106,106,258,Two-Digit by Two-Digit Multiplication,5GM,5GM.2.1.5,2.1.5,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,,12,334;331;443;1159,334:12;331:12;443:13;1159:12,2392;2394,2392;2394,,queue-checkmark,2,1589,Distance-Time Graphs
equivalent,107,107,2291,Three- and Four-Digit by One-Digit Multiplication,5GM,5GM.2.1.3,2.1.3,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,,12,334;331;443;1159,334:16;331:12;443:13;1159:12,2392;2417,2392;2417,,queue-checkmark,3,1589,Distance-Time Graphs
equivalent,108,108,2437,Dividing Whole Numbers by Fractions Using Models: Whole Number Results,6GM,6GM.3.1.1,3.1.1,3. The Number System- Dividing Fractions,3.1. Dividing Fractions and Whole Numbers,,12,334;331;443;1159,334:12;331:13;443:14;1159:13,529;3951,529;3951,,queue-checkmark,6,1589,Distance-Time Graphs
equivalent,109,109,1510,"Acute, Obtuse, and Reflex Angles",4GM,4GM.7.3.6,7.3.6,7. Measurement & Data,7.3. Geometry,135,13,1159,1159:15,1509,1509,,activity-history,8,167,Negative Angles in the Coordinate Plane
equivalent,110,110,3979,Parallel and Perpendicular Lines,4GM,4GM.7.3.10,7.3.10,7. Measurement & Data,7.3. Geometry,139,13,1159,1159:9,1378;1509,1378;1509,,activity-history,3,987,Calculating the Equation of a Normal Line Using Differentiation
equivalent,111,111,2341,Decimal Fractions,4GM,4GM.6.8.1,6.8.1,6. Fractions & Decimals,6.8. Decimals,,13,334;331;443;1159,334:14;331:8;443:9;1159:10,3959,3959,,activity-history;activity-history,4,425;485,The Discriminant of a Quadratic Equation;Midpoints in the Coordinate Plane
equivalent,112,112,2359,Converting Improper Fractions to Mixed Numbers,4GM,4GM.6.2.5,6.2.5,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,,13,334;331;443;1159,334:11;331:8;443:9;1159:10,3898,3898,,activity-history,4,726,The Common Logarithm
equivalent,113,113,2376,Comparing Fraction Models Using Common Denominators,4GM,4GM.6.4.4,6.4.4,6. Fractions & Decimals,6.4. Comparing Fractions,,13,334;331;443;1159,334:16;331:13;443:14;1159:11,538;2365;3935,538;2365;3935,,activity-history,6,437,Adding and Subtracting Rational Expressions
equivalent,114,114,2422,Dividing by One-Digit Numbers by Connecting Multiplication and Division,4GM,4GM.5.1.8,5.1.8,5. Division,5.1. Dividing Whole Numbers,,13,334;331;443;1159,334:13;331:10;443:11;1159:12,2390;3877;3933,2390;3877;3933,,activity-history,5,336,The Average Rate of Change of a Function
equivalent,115,115,3900,Rounding Up the Digit 9,4GM,4GM.2.2.6,2.2.6,2. The Number System,2.2. Comparing Whole Numbers,,13,334;331;443;1159,334:10;331:10;443:11;1159:11,3884,3884,,activity-history;activity-history;activity-history,4,14;37;1753,Imaginary Numbers;The Power and Root Rules for Limits;Volumes of Rectangular Solids
equivalent,116,116,2288,Multi-Digit by Two-Digit Multiplication,5GM,5GM.2.1.6,2.1.6,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,,13,334;331;443;1159,334:15;331:11;443:12;1159:11,258,258,,activity-history;activity-history,4,131;161,Compound Events in Probability From Experimental Data;The Rules of Sum and Product
equivalent,117,117,2374,Adding Fractions With Unlike Denominators Using Models,5GM,5GM.3.2.2,3.2.2,3. Adding & Subtracting Fractions,3.2. Adding and Subtracting Fractions,,13,334;331;443;1159,334:15;331:13;443:14;1159:10,543;2365,543;2365,,activity-history;activity-history;activity-history,6,355;437;1583,Splitting Rational Expressions Into Separate Terms;Adding and Subtracting Rational Expressions;Solving Exponential Equations With Different Bases
equivalent,118,118,4788,Five- and Six-Digit by One-Digit Multiplication,5GM,5GM.2.1.4,2.1.4,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,,13,334;331;443;1159,334:15;331:11;443:12;1159:11,2291,2291,,queue-checkmark,2,1589,Distance-Time Graphs
equivalent,119,119,4698,Dividing Whole Numbers by Fractions Using Models: Fractional Results,6GM,6GM.3.1.2,3.1.2,3. The Number System- Dividing Fractions,3.1. Dividing Fractions and Whole Numbers,,13,334;331;443;1159,334:11;331:12;443:13;1159:12,2437,2437,,queue-checkmark,5,1589,Distance-Time Graphs
equivalent,120,120,2351,Adding Fractions With Like Denominators,4GM,4GM.6.5.2,6.5.2,6. Fractions & Decimals,6.5. Adding Fractions,,14,334;331;443;1159,334:13;331:9;443:10;1159:11,2359;2370,2359;2370,,activity-history;activity-history;activity-history;activity-history,5,131;296;726;1753,Compound Events in Probability From Experimental Data;Interpreting the Meaning of the Derivative in Context;The Common Logarithm;Volumes of Rectangular Solids
equivalent,121,121,2423,Two-Digit by One-Digit Division Using Area Models,4GM,4GM.5.2.1,5.2.1,5. Division,5.2. Dividing Whole Numbers Using Models,,14,334;331;443;1159,334:15;331:12;443:13;1159:14,2415;2422;3886,2415;2422;3886,,activity-history,6,73,Fibonacci Sequences
equivalent,122,122,3879,Estimating Multi-Digit Addition,4GM,4GM.3.1.7,3.1.7,3. Addition & Subtraction,3.1. Adding Whole Numbers,,14,334;331;443;1159,334:17;331:9;443:10;1159:11,3900,3900,,activity-history,5,726,The Common Logarithm
equivalent,123,123,3880,Estimating Multi-Digit Subtraction,4GM,4GM.3.2.6,3.2.6,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,,14,334;331;443;1159,334:17;331:9;443:10;1159:11,3900;3909,3900;3909,,activity-history,5,726,The Common Logarithm
equivalent,124,124,3914,Converting Fractions to Decimals,4GM,4GM.6.8.4,6.8.4,6. Fractions & Decimals,6.8. Decimals,,14,334;331;443;1159,334:15;331:10;443:11;1159:12,2341;2363;2417,2341;2363;2417,,activity-history;queue-checkmark,6,425;1589,The Discriminant of a Quadratic Equation;Distance-Time Graphs
equivalent,125,125,3915,Plotting Decimals on Number Lines,4GM,4GM.6.8.2,6.8.2,6. Fractions & Decimals,6.8. Decimals,,14,334;331;443;1159,334:13;331:7;443:8;1159:9,2341;3893;7008,2341;3893;7008,,activity-history;activity-history,3,425;485,The Discriminant of a Quadratic Equation;Midpoints in the Coordinate Plane
equivalent,126,126,4204,Comparing Fractions Using Common Denominators,4GM,4GM.6.4.5,6.4.5,6. Fractions & Decimals,6.4. Comparing Fractions,,14,334;331;443;1159,334:15;331:12;443:13;1159:10,2376;2439,2376;2439,,activity-history,5,437,Adding and Subtracting Rational Expressions
equivalent,127,127,383,Three-Digit by Three-Digit Multiplication,5GM,5GM.2.1.7,2.1.7,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,,14,334;331;443;1159,334:14;331:10;443:11;1159:10,2288,2288,,activity-history;activity-history,3,131;161,Compound Events in Probability From Experimental Data;The Rules of Sum and Product
equivalent,128,128,2372,Subtracting Fractions With Unlike Denominators Using Models,5GM,5GM.3.2.3,3.2.3,3. Adding & Subtracting Fractions,3.2. Adding and Subtracting Fractions,,14,334;331;443;1159,334:14;331:12;443:13;1159:9,544;2374,544;2374,,activity-history;activity-history;activity-history,5,355;437;1583,Splitting Rational Expressions Into Separate Terms;Adding and Subtracting Rational Expressions;Solving Exponential Equations With Different Bases
equivalent,129,129,299,Multiplying and Dividing With Zero,PAL,PAL.2.2.7,2.2.7,2. The Number System,2.2. Multiplication and Division of Rational Numbers,,14,334;331;443;1159,334:12;331:9;443:10;1159:11,2422,2422,,activity-history,4,336,The Average Rate of Change of a Function
equivalent,130,130,2342,Converting Decimals to Fractions,4GM,4GM.6.8.6,6.8.6,6. Fractions & Decimals,6.8. Decimals,,15,334;331;443;1159,334:14;331:9;443:10;1159:11,2364;3886;3914,2364;3886;3914,,activity-history;queue-checkmark,5,425;1589,The Discriminant of a Quadratic Equation;Distance-Time Graphs
equivalent,131,131,2352,Adding Mixed Numbers With Like Denominators,4GM,4GM.6.6.1,6.6.1,6. Fractions & Decimals,6.6. Adding Mixed Numbers,,15,334;331;443;1159,334:17;331:14;443:15;1159:12,2351,2351,,activity-history,7,437,Adding and Subtracting Rational Expressions
equivalent,132,132,2424,Two-Digit by One-Digit Division Using Partial Quotients,4GM,4GM.5.2.4,5.2.4,5. Division,5.2. Dividing Whole Numbers Using Models,,15,334;331;443;1159,334:14;331:11;443:12;1159:13,2423,2423,,activity-history,5,73,Fibonacci Sequences
equivalent,133,133,2426,Multi-Digit by One-Digit Division Using Area Models,4GM,4GM.5.2.2,5.2.2,5. Division,5.2. Dividing Whole Numbers Using Models,,15,334;331;443;1159,334:14;331:11;443:12;1159:13,2423,2423,,activity-history,5,73,Fibonacci Sequences
equivalent,134,134,3901,Converting Mixed Numbers to Improper Fractions,4GM,4GM.6.2.6,6.2.6,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,,15,334;331;443;1159,334:12;331:9;443:10;1159:10,2351,2351,,activity-history;activity-history;activity-history,4,131;296;1753,Compound Events in Probability From Experimental Data;Interpreting the Meaning of the Derivative in Context;Volumes of Rectangular Solids
equivalent,135,135,3916,Adding Decimal Fractions,4GM,4GM.6.8.8,6.8.8,6. Fractions & Decimals,6.8. Decimals,,15,334;331;443;1159,334:17;331:8;443:9;1159:10,2351;3882,2351;3882,,activity-history,4,726,The Common Logarithm
equivalent,136,136,3934,Subtracting Fractions With Like Denominators,4GM,4GM.6.5.3,6.5.3,6. Fractions & Decimals,6.5. Adding Fractions,,15,334;331;443;1159,334:17;331:14;443:15;1159:12,2351,2351,,activity-history,7,437,Adding and Subtracting Rational Expressions
equivalent,137,137,3996,Comparing Decimals Up to Hundredths,4GM,4GM.6.8.3,6.8.3,6. Fractions & Decimals,6.8. Decimals,,15,334;331;443;1159,334:12;331:12;443:13;1159:13,3915;3919,3915;3919,,activity-history;activity-history;activity-history,6,14;37;1753,Imaginary Numbers;The Power and Root Rules for Limits;Volumes of Rectangular Solids
equivalent,138,138,539,Adding Fractions and Whole Numbers,5GM,5GM.3.1.2,3.1.2,3. Adding & Subtracting Fractions,3.1. Adding and Subtracting Fractions and Whole Numbers,,15,334;331;443;1159,334:15;331:13;443:14;1159:10,543;2351,543;2351,,activity-history;activity-history;activity-history,6,355;437;1583,Splitting Rational Expressions Into Separate Terms;Adding and Subtracting Rational Expressions;Solving Exponential Equations With Different Bases
equivalent,139,139,2442,Negative Numbers,6GM,6GM.5.1.1,5.1.1,5. The Number System- Rational Numbers,5.1. Negative Numbers,,15,334;331;443;1159,334:12;331:6;443:7;1159:8,3915,3915,,activity-history;activity-history,2,425;485,The Discriminant of a Quadratic Equation;Midpoints in the Coordinate Plane
equivalent,140,140,3537,Evaluating Larger Exponents,6GM,6GM.5.4.3,5.4.3,5. The Number System- Rational Numbers,5.4. Exponents,,15,334;331;443;1159,334:14;331:11;443:12;1159:13,383;2321,383;2321,,activity-history,2,161,The Rules of Sum and Product
equivalent,141,141,235,Subtracting Mixed Numbers With Like Denominators,4GM,4GM.6.6.2,6.6.2,6. Fractions & Decimals,6.6. Adding Mixed Numbers,,16,334;331;443;1159,334:16;331:13;443:14;1159:11,2352;3934,2352;3934,,activity-history,6,437,Adding and Subtracting Rational Expressions
equivalent,142,142,2360,Multiplying Fractions by Whole Numbers,4GM,4GM.6.7.3,6.7.3,6. Fractions & Decimals,6.7. Multiplying Fractions,,16,334;331;443;1159,334:12;331:8;443:9;1159:9,3901;3968,3901;3968,,activity-history;activity-history;activity-history,3,131;296;1753,Compound Events in Probability From Experimental Data;Interpreting the Meaning of the Derivative in Context;Volumes of Rectangular Solids
equivalent,143,143,3920,More Multi-Digit by One-Digit Division Using Area Models,4GM,4GM.5.2.3,5.2.3,5. Division,5.2. Dividing Whole Numbers Using Models,,16,334;331;443;1159,334:13;331:10;443:11;1159:12,2393;2426,2393;2426,,activity-history,4,73,Fibonacci Sequences
equivalent,144,144,3925,Two-Digit by One-Digit Division With Remainders Using Partial Quotients,4GM,4GM.5.2.5,5.2.5,5. Division,5.2. Dividing Whole Numbers Using Models,,16,334;331;443;1159,334:13;331:10;443:11;1159:12,2391;2424,2391;2424,,activity-history,4,73,Fibonacci Sequences
equivalent,145,145,545,Subtracting Fractions and Whole Numbers,5GM,5GM.3.1.4,3.1.4,3. Adding & Subtracting Fractions,3.1. Adding and Subtracting Fractions and Whole Numbers,,16,334;331;443;1159,334:14;331:12;443:13;1159:9,539;544,539;544,,activity-history;activity-history;activity-history,5,355;437;1583,Splitting Rational Expressions Into Separate Terms;Adding and Subtracting Rational Expressions;Solving Exponential Equations With Different Bases
equivalent,146,146,2282,The Place Value System With Decimals,5GM,5GM.5.1.1,5.1.1,5. Decimals,5.1. Decimals,,16,334;331;443;1159,334:13;331:8;443:9;1159:10,2342,2342,,activity-history;queue-checkmark,4,425;1589,The Discriminant of a Quadratic Equation;Distance-Time Graphs
equivalent,147,147,2353,Adding Fractions With Unlike Denominators,5GM,5GM.3.2.4,3.2.4,3. Adding & Subtracting Fractions,3.2. Adding and Subtracting Fractions,,16,334;331;443;1159,334:14;331:12;443:13;1159:9,539;2374,539;2374,,activity-history;activity-history;activity-history,5,355;437;1583,Splitting Rational Expressions Into Separate Terms;Adding and Subtracting Rational Expressions;Solving Exponential Equations With Different Bases
equivalent,148,148,2281,Absolute Value,6GM,6GM.5.1.2,5.1.2,5. The Number System- Rational Numbers,5.1. Negative Numbers,,16,334;331;443;1159,334:11;331:11;443:12;1159:10,2442,2442,,activity-history,2,459,The Distance Formula
equivalent,149,149,2388,Reciprocals,6GM,6GM.3.2.1,3.2.1,3. The Number System- Dividing Fractions,3.2. Dividing Fractions,,16,334;331;443;1159,334:11;331:12;443:13;1159:12,3901,3901,,queue-checkmark,5,1589,Distance-Time Graphs
equivalent,150,150,2444,Comparing Negative Numbers,6GM,6GM.5.1.3,5.1.3,5. The Number System- Rational Numbers,5.1. Negative Numbers,,16,334;331;443;1159,334:13;331:8;443:9;1159:10,2442;3919,2442;3919,,activity-history,4,726,The Common Logarithm
equivalent,151,151,2475,Evaluating Whole Number Expressions Containing Exponents,6GM,6GM.5.4.7,5.4.7,5. The Number System- Rational Numbers,5.4. Exponents,,16,334;331;443;1159,334:13;331:10;443:11;1159:12,2398;3537,2398;3537,,activity-history,1,161,The Rules of Sum and Product
equivalent,152,152,92,The Cartesian Coordinate System,PAL,PAL.5.4.1,5.4.1,5. Equations & Inequalities,5.4. Graphs of Linear Equations,,16,334;331;443;1159,334:11;331:10;443:11;1159:12,63;2410;2442,63;2410;2442,,activity-history,1,485,Midpoints in the Coordinate Plane
equivalent,153,153,327,Subtracting a Positive Number From a Smaller Positive Number,PAL,PAL.2.1.1,2.1.1,2. The Number System,2.1. Addition and Subtraction of Rational Numbers,,16,334;331;443;1159,334:14;331:11;443:12;1159:9,2442;3907,2442;3907,,activity-history,4,437,Adding and Subtracting Rational Expressions
equivalent,154,154,236,Units of Length,4GM,4GM.7.1.1,7.1.1,7. Measurement & Data,7.1. Units,,17,334;331;443;1159,334:16;331:7;443:8;1159:9,2360,2360,,activity-history;activity-history,2,131;1753,Compound Events in Probability From Experimental Data;Volumes of Rectangular Solids
equivalent,155,155,2362,Subtracting Mixed Numbers With Like Denominators Using Improper Fractions,4GM,4GM.6.6.3,6.6.3,6. Fractions & Decimals,6.6. Adding Mixed Numbers,,17,334;331;443;1159,334:15;331:12;443:13;1159:10,235;538;3876;3901,235;538;3876;3901,,activity-history,5,437,Adding and Subtracting Rational Expressions
equivalent,156,156,2425,Multi-Digit by One-Digit Division Using Partial Quotients,4GM,4GM.5.2.6,5.2.6,5. Division,5.2. Dividing Whole Numbers Using Models,,17,334;331;443;1159,334:12;331:9;443:10;1159:11,3920;3925,3920;3925,,activity-history,3,73,Fibonacci Sequences
equivalent,157,157,2458,Strategies to Simplify Whole Number and Fraction Multiplication,4GM,4GM.6.7.5,6.7.5,6. Fractions & Decimals,6.7. Multiplying Fractions,,17,334;331;443;1159,334:12;331:13;443:14;1159:13,2360;3923,2360;3923,,queue-checkmark,6,1589,Distance-Time Graphs
equivalent,158,158,4196,Units of Mass,4GM,4GM.7.1.2,7.1.2,7. Measurement & Data,7.1. Units,,17,334;331;443;1159,334:14;331:15;443:16;1159:15,2360,2360,,activity-history;activity-history,2,131;296,Compound Events in Probability From Experimental Data;Interpreting the Meaning of the Derivative in Context
equivalent,159,159,4197,Units of Time,4GM,4GM.7.1.3,7.1.3,7. Measurement & Data,7.1. Units,,17,334;331;443;1159,334:14;331:15;443:16;1159:15,2360,2360,,activity-history;activity-history,2,131;296,Compound Events in Probability From Experimental Data;Interpreting the Meaning of the Derivative in Context
equivalent,160,160,4198,Units of Volume,4GM,4GM.7.1.4,7.1.4,7. Measurement & Data,7.1. Units,,17,334;331;443;1159,334:17;331:8;443:9;1159:10,2360,2360,,activity-history,2,131,Compound Events in Probability From Experimental Data
equivalent,161,161,2283,Comparing Place Values With Decimals,5GM,5GM.5.1.2,5.1.2,5. Decimals,5.1. Decimals,,17,334;331;443;1159,334:12;331:12;443:13;1159:13,2282;2322,2282;2322,,activity-history;activity-history;activity-history;activity-history;activity-history,6,14;37;131;336;1753,Imaginary Numbers;The Power and Root Rules for Limits;Compound Events in Probability From Experimental Data;The Average Rate of Change of a Function;Volumes of Rectangular Solids
equivalent,162,162,2344,Equivalent Decimals,5GM,5GM.5.1.6,5.1.6,5. Decimals,5.1. Decimals,,17,334;331;443;1159,334:12;331:7;443:8;1159:9,2282,2282,,activity-history;queue-checkmark,3,425;1589,The Discriminant of a Quadratic Equation;Distance-Time Graphs
equivalent,163,163,2354,Adding Mixed Numbers With Unlike Denominators,5GM,5GM.3.3.1,3.3.1,3. Adding & Subtracting Fractions,3.3. Adding and Subtracting Mixed Numbers,,17,334;331;443;1159,334:16;331:13;443:14;1159:11,2352;2353,2352;2353,,activity-history,6,437,Adding and Subtracting Rational Expressions
equivalent,164,164,2357,Subtracting Fractions With Unlike Denominators,5GM,5GM.3.2.5,3.2.5,3. Adding & Subtracting Fractions,3.2. Adding and Subtracting Fractions,,17,334;331;443;1159,334:13;331:11;443:12;1159:8,545;2353;2372,545;2353;2372,,activity-history;activity-history;activity-history,4,355;437;1583,Splitting Rational Expressions Into Separate Terms;Adding and Subtracting Rational Expressions;Solving Exponential Equations With Different Bases
equivalent,165,165,2378,Multiplying Fractions,5GM,5GM.4.1.3,4.1.3,4. Multiplying & Dividing Fractions,4.1. Multiplying Fractions,,17,334;331;443;1159,334:11;331:11;443:12;1159:8,2360;3079,2360;3079,,activity-history;activity-history,4,355;1583,Splitting Rational Expressions Into Separate Terms;Solving Exponential Equations With Different Bases
equivalent,166,166,535,Two-Digit by One-Digit Division,6GM,6GM.2.1.1,2.1.1,2. The Number System- Whole Number Division,2.1. Dividing Whole Numbers by One-Digit Numbers,,17,334;331;443;1159,334:12;331:9;443:10;1159:11,3925,3925,,activity-history,4,131,Compound Events in Probability From Experimental Data
equivalent,167,167,178,Inequalities,PAL,PAL.5.3.1,5.3.1,5. Equations & Inequalities,5.3. Solving Linear Inequalities,,17,334;331;443;1159,334:12;331:7;443:8;1159:9,2444;3721,2444;3721,,activity-history,3,726,The Common Logarithm
equivalent,168,168,573,Distances Between Points in the Coordinate Plane,PAL,PAL.5.4.2,5.4.2,5. Equations & Inequalities,5.4. Graphs of Linear Equations,,17,334;331;443;1159,334:10;331:10;443:11;1159:11,92;2281,92;2281,,activity-history,1,459,The Distance Formula
equivalent,169,169,3720,Subtracting a Positive Number From a Negative Number,PAL,PAL.2.1.2,2.1.2,2. The Number System,2.1. Addition and Subtraction of Rational Numbers,,17,334;331;443;1159,334:14;331:11;443:12;1159:9,2281,2281,,activity-history,4,437,Adding and Subtracting Rational Expressions
equivalent,170,170,110,Multiplying Decimals by Powers of Ten Using Place Value,5GM,5GM.6.1.1,6.1.1,6. Multiplying & Dividing Decimals,6.1. Multiplying Decimals,,18,334;331;443;1159,334:13;331:11;443:12;1159:12,2283;2344,2283;2344,,activity-history;activity-history,5,131;336,Compound Events in Probability From Experimental Data;The Average Rate of Change of a Function
equivalent,171,171,541,Multi-Digit by Two-Digit Division Using Partial Quotients,5GM,5GM.2.2.9,2.2.9,2. Multiplying & Dividing Whole Numbers,2.2. Dividing Whole Numbers,,18,334;331;443;1159,334:11;331:12;443:13;1159:12,258;2425,258;2425,,activity-history,6,3861,Identifying Monotonic Sequences Using Ratios
equivalent,172,172,567,Multiplying Fractions: Word Problems,5GM,5GM.4.1.4,4.1.4,4. Multiplying & Dividing Fractions,4.1. Multiplying Fractions,,18,334;331;443;1159,334:16;331:17;443:18;1159:17,2378,2378,,queue-checkmark,6,1589,Distance-Time Graphs
equivalent,173,173,2286,Comparing Decimals,5GM,5GM.5.1.7,5.1.7,5. Decimals,5.1. Decimals,,18,334;331;443;1159,334:11;331:11;443:12;1159:12,2283;2344;3919;3996,2283;2344;3919;3996,,activity-history;activity-history;activity-history,5,14;37;1753,Imaginary Numbers;The Power and Root Rules for Limits;Volumes of Rectangular Solids
equivalent,174,174,2356,Subtracting Mixed Numbers With Unlike Denominators,5GM,5GM.3.3.2,3.3.2,3. Adding & Subtracting Fractions,3.3. Adding and Subtracting Mixed Numbers,,18,334;331;443;1159,334:15;331:12;443:13;1159:10,2354;2357,2354;2357,,activity-history,5,437,Adding and Subtracting Rational Expressions
equivalent,175,175,2403,Understanding Volume Using Unit Cubes,5GM,5GM.9.1.1,9.1.1,9. Geometry,9.1. Volume,,18,334;331;443;1159,334:16;331:7;443:8;1159:9,236;4198,236;4198,,activity-history,2,1753,Volumes of Rectangular Solids
equivalent,176,176,2459,Multiplying Fractions by Swapping Denominators,5GM,5GM.4.1.5,4.1.5,4. Multiplying & Dividing Fractions,4.1. Multiplying Fractions,,18,334;331;443;1159,334:11;331:12;443:13;1159:12,2378;2458,2378;2458,,queue-checkmark,5,1589,Distance-Time Graphs
equivalent,177,177,536,Three-Digit by One-Digit Division,6GM,6GM.2.1.2,2.1.2,2. The Number System- Whole Number Division,2.1. Dividing Whole Numbers by One-Digit Numbers,,18,334;331;443;1159,334:11;331:8;443:9;1159:10,535;2425,535;2425,,activity-history;queue-checkmark,4,425;1589,The Discriminant of a Quadratic Equation;Distance-Time Graphs
