module-id,module-code,module-name
123143,IM1.2.2,Modeling With Two-Variable Linear Equations
123144,IM1.2.3,Two-Variable Linear Inequalities
123145,IM1.2.4,Systems of Equations
123146,IM1.3.1,Working With Units
123147,IM1.3.2,Direct and Inverse Variation
123148,IM1.4.1,Rational Expressions
123149,IM1.4.2,Rational Equations
123150,IM1.4.3,Radical Expressions
123151,IM1.5.1,Function Essentials
123152,IM1.6.1,"Absolute Value Expressions, Equations & Inequalities"
123153,IM1.6.2,Absolute Value Functions
123154,IM1.7.1,The Rules of Exponents
123155,IM1.7.2,"Exponential Expressions, Equations, and Functions"
123156,IM1.8.1,Polynomial Essentials
123157,IM1.8.2,Factoring Polynomials
123158,IM1.9.1,Geometric Transformations
123159,IM1.9.2,Triangles
123160,IM1.9.3,Circles
123161,IM1.9.4,Coordinate Geometry
123211,IM2.1.1,Quadratic Equations
123212,IM2.1.2,Quadratic Functions
123213,IM2.1.3,Modeling With Quadratic Functions
123214,IM2.2.1,Functions
123215,IM2.2.2,Graph Transformations of Functions
123216,IM2.2.3,Sequences
123217,IM2.3.1,Graphs of Exponential Functions
123218,IM2.3.2,Introduction to Logarithms
123219,IM2.3.3,The Laws of Logarithms
123220,IM2.4.1,Proof
123221,IM2.4.2,Congruence
123222,IM2.4.3,Similarity
123223,IM2.4.4,Circles
123224,IM2.4.5,Introduction to Solid Geometry
123225,IM2.4.6,Rectangular Solids and Pyramids
123226,IM2.4.7,Non-Polyhedrons
123227,IM2.5.1,Introduction to Trigonometry
123228,IM2.5.2,Radians
123229,IM2.5.3,The Unit Circle
123230,IM2.5.4,Special Trigonometric Ratios
123231,IM2.6.1,Introduction to Probability
123232,IM2.6.2,Compound Events in Probability
123233,IM2.6.3,Correlation
123234,IM3.1.1,Factoring Polynomials
123235,IM3.1.2,Polynomial Equations
123236,IM3.1.3,Dividing Polynomials
123237,IM3.1.4,Polynomial Theorems
123238,IM3.1.5,Graphs of Polynomials
123239,IM3.1.6,Properties of Polynomials
123240,IM3.2.1,Rational Expressions
123241,IM3.2.2,Reciprocal Functions
123242,IM3.2.3,Radical Expressions
123243,IM3.2.4,Radical Functions
123244,IM3.3.1,Exponential Equations
123245,IM3.3.2,Logarithmic Equations
123246,IM3.3.3,Graphs of Logarithmic Functions
123247,IM3.3.4,Modeling with Exponential Functions
123248,IM3.4.1,Real Numbers
123249,IM3.4.2,Complex Numbers
123250,IM3.5.1,Arithmetic Sequences
123251,IM3.5.2,Geometric Sequences
123252,IM3.6.1,Proof
123254,IM3.6.2,Circles
123255,IM3.6.3,Parabolas
123256,IM3.7.1,Trigonometry with General Triangles
123257,IM3.7.2,Trigonometric Functions
123258,IM3.7.3,Graph Transformations of Trigonometric Functions
123259,IM3.7.4,Properties of Transformed Trigonometric Functions
123260,IM3.8.1,Conditional Probability
123261,IM3.8.2,Combinatorics
123262,IM3.8.3,Analyzing Data
112315,PCL.1.1,Arithmetic Series
112316,PCL.1.2,Finite Geometric Series
112317,PCL.1.3,The Binomial Theorem
112318,PCL.2.1,Rational Expressions and Equations
112319,PCL.2.2,Rational Functions
112320,PCL.3.1,Quadratic Inequalities
112321,PCL.3.2,Polynomial Inequalities
112323,PCL.3.3,Non-Polynomial Inequalities
112324,PCL.4.1,The Inverse Trigonometric Functions
112325,PCL.4.2,Trigonometric Identities
112326,PCL.4.3,The Sum and Difference Formulas
112327,PCL.4.4,The Double-Angle Formulas
112328,PCL.4.5,Elementary Trigonometric Equations
