layer,topic-id,topic-code,topic-name,lesson-path,source-path
23,4204,4GM.6.4.5,Comparing Fractions Using Common Denominators,,
18,2370,4GM.6.5.1,Adding Fractions With Like Denominators Using Models,,
19,2351,4GM.6.5.2,Adding Fractions With Like Denominators,,
20,3934,4GM.6.5.3,Subtracting Fractions With Like Denominators,,
25,3947,4GM.6.5.4,Adding Fractions With Like Denominators: Word Problems,,
26,4231,4GM.6.5.5,Subtracting Fractions With Like Denominators: Word Problems,,
21,3889,4GM.6.5.6,Decomposing Fractions Into Sums Using Models,,
22,3955,4GM.6.5.7,Decomposing Fractions Into Sums,,
20,2352,4GM.6.6.1,Adding Mixed Numbers With Like Denominators,,
21,235,4GM.6.6.2,Subtracting Mixed Numbers With Like Denominators,,
22,2362,4GM.6.6.3,Subtracting Mixed Numbers With Like Denominators Using Improper Fractions,,
25,3948,4GM.6.6.4,Adding Mixed Numbers With Like Denominators: Word Problems,,
26,4219,4GM.6.6.5,Subtracting Mixed Numbers With Like Denominators: Word Problems,,
19,564,4GM.6.7.1,Multiplying Unit Fractions by Whole Numbers Using Models,,
20,3968,4GM.6.7.2,Multiplying Fractions by Whole Numbers Using Models,,
22,2360,4GM.6.7.3,Multiplying Fractions by Whole Numbers,,
24,566,4GM.6.7.4,Multiplying Fractions by Whole Numbers: Word Problems,,
23,2458,4GM.6.7.5,Strategies to Simplify Whole Number and Fraction Multiplication,,
13,2341,4GM.6.8.1,Decimal Fractions,,
16,3915,4GM.6.8.2,Plotting Decimals on Number Lines,,
17,3996,4GM.6.8.3,Comparing Decimals Up to Hundredths,,
14,3914,4GM.6.8.4,Converting Fractions to Decimals,,
16,2349,4GM.6.8.5,Converting Mixed Numbers to Decimals,,
15,2342,4GM.6.8.6,Converting Decimals to Fractions,,
17,2350,4GM.6.8.7,Converting Decimals to Mixed Numbers,,
20,3916,4GM.6.8.8,Adding Decimal Fractions,,
23,236,4GM.7.1.1,Units of Length,,
23,4196,4GM.7.1.2,Units of Mass,,
23,4197,4GM.7.1.3,Units of Time,,
23,4198,4GM.7.1.4,Units of Volume,,
24,2427,4GM.7.1.5,Converting Metric Units of Length to Smaller Units,,
24,3994,4GM.7.1.6,Converting Customary Units of Length to Smaller Units,,
24,2402,4GM.7.1.7,Converting Units of Volume to Smaller Units,,
24,2428,4GM.7.1.8,Converting Units of Mass to Smaller Units,,
24,2429,4GM.7.1.9,Converting Units of Time to Smaller Units,,
23,2400,4GM.7.2.1,Creating and Interpreting Line Plots,,
24,2408,4GM.7.2.2,Creating and Interpreting Line Plots With Fractions,,
32,1378,4GM.7.3.1,"Points, Lines, Rays, and Segments",,
33,2172,4GM.7.3.2,Angles and Measures of Angles,,
34,3981,4GM.7.3.3,Connecting Angles and Circles,,
34,3980,4GM.7.3.4,Measuring Angles Using a Protractor,,
35,1509,4GM.7.3.5,"Right, Straight, Full, and Null Angles",,
36,1510,4GM.7.3.6,"Acute, Obtuse, and Reflex Angles",,
37,6368,4GM.7.3.7,Classifying Figures Based on Angles,,
34,1505,4GM.7.3.8,Sums of Angles,,
37,3965,4GM.7.3.9,Solving Angle Problems,,
37,3979,4GM.7.3.10,Parallel and Perpendicular Lines,,
24,3960,4GM.7.3.11,Modeling With Rectangles,,
15,2397,5GM.1.1.1,Evaluating Whole Number Expressions,,
24,2398,5GM.1.1.2,Evaluating Whole Number Expressions With Parentheses,,
25,2396,5GM.1.1.3,Creating and Interpreting Whole Number Expressions,,
26,2485,5GM.1.1.4,Creating Whole Number Expressions From Terminology,,
27,3750,5GM.1.1.5,Additive Comparisons of Whole Number Expressions,,
27,2399,5GM.1.1.6,Multiplicative Comparisons of Whole Number Expressions,,
22,2442,5GM.1.2.1,Negative Numbers,,
27,2444,5GM.1.2.2,Comparing Negative Numbers,,
23,2281,5GM.1.2.3,Absolute Value,,
16,2322,5GM.2.1.1,Multiplying Numbers by Powers of Ten Using Place Value,,
18,2392,5GM.2.1.2,Two-Digit by One-Digit Multiplication,,
19,2291,5GM.2.1.3,Three- and Four-Digit by One-Digit Multiplication,,
20,4788,5GM.2.1.4,Five- and Six-Digit by One-Digit Multiplication,,
19,258,5GM.2.1.5,Two-Digit by Two-Digit Multiplication,,
20,2288,5GM.2.1.6,Multi-Digit by Two-Digit Multiplication,,
