topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
673,PCL.1.1.1,1.1.1,Sigma Notation,1. Sequences and Series,1.1. Arithmetic Series,1. Sequences and Series/1.1. Arithmetic Series/Lessons/1.1.1. Sigma Notation.md,1. Sequences and Series/1.1. Arithmetic Series/Source/1.1.1. Sigma Notation,43,43,1
3958,PCL.1.1.2,1.1.2,Properties of Finite Series,1. Sequences and Series,1.1. Arithmetic Series,1. Sequences and Series/1.1. Arithmetic Series/Lessons/1.1.2. Properties of Finite Series.md,1. Sequences and Series/1.1. Arithmetic Series/Source/1.1.2. Properties of Finite Series,44,44,2
779,PCL.1.1.3,1.1.3,Expressing an Arithmetic Series in Sigma Notation,1. Sequences and Series,1.1. Arithmetic Series,1. Sequences and Series/1.1. Arithmetic Series/Lessons/1.1.3. Expressing an Arithmetic Series in Sigma Notation.md,1. Sequences and Series/1.1. Arithmetic Series/Source/1.1.3. Expressing an Arithmetic Series in Sigma Notation,47,47,3
675,PCL.1.1.4,1.1.4,Finding the Sum of an Arithmetic Series,1. Sequences and Series,1.1. Arithmetic Series,1. Sequences and Series/1.1. Arithmetic Series/Lessons/1.1.4. Finding the Sum of an Arithmetic Series.md,1. Sequences and Series/1.1. Arithmetic Series/Source/1.1.4. Finding the Sum of an Arithmetic Series,48,48,4
677,PCL.1.1.5,1.1.5,Finding the First Term of an Arithmetic Series,1. Sequences and Series,1.1. Arithmetic Series,1. Sequences and Series/1.1. Arithmetic Series/Lessons/1.1.5. Finding the First Term of an Arithmetic Series.md,1. Sequences and Series/1.1. Arithmetic Series/Source/1.1.5. Finding the First Term of an Arithmetic Series,49,49,5
676,PCL.1.1.6,1.1.6,Calculating the Number of Terms in an Arithmetic Series,1. Sequences and Series,1.1. Arithmetic Series,1. Sequences and Series/1.1. Arithmetic Series/Lessons/1.1.6. Calculating the Number of Terms in an Arithmetic Series.md,1. Sequences and Series/1.1. Arithmetic Series/Source/1.1.6. Calculating the Number of Terms in an Arithmetic Series,50,50,6
678,PCL.1.1.7,1.1.7,Modeling With Arithmetic Series,1. Sequences and Series,1.1. Arithmetic Series,1. Sequences and Series/1.1. Arithmetic Series/Lessons/1.1.7. Modeling With Arithmetic Series.md,1. Sequences and Series/1.1. Arithmetic Series/Source/1.1.7. Modeling With Arithmetic Series,51,51,7
1016,PCL.1.2.1,1.2.1,The Sum of a Finite Geometric Series,1. Sequences and Series,1.2. Finite Geometric Series,1. Sequences and Series/1.2. Finite Geometric Series/Lessons/1.2.1. The Sum of a Finite Geometric Series.md,1. Sequences and Series/1.2. Finite Geometric Series/Source/1.2.1. The Sum of a Finite Geometric Series,48,48,8
692,PCL.1.2.2,1.2.2,The Sum of the First N Terms of a Geometric Series,1. Sequences and Series,1.2. Finite Geometric Series,1. Sequences and Series/1.2. Finite Geometric Series/Lessons/1.2.2. The Sum of the First N Terms of a Geometric Series.md,1. Sequences and Series/1.2. Finite Geometric Series/Source/1.2.2. The Sum of the First N Terms of a Geometric Series,49,49,9
1017,PCL.1.2.3,1.2.3,Writing Geometric Series in Sigma Notation,1. Sequences and Series,1.2. Finite Geometric Series,1. Sequences and Series/1.2. Finite Geometric Series/Lessons/1.2.3. Writing Geometric Series in Sigma Notation.md,1. Sequences and Series/1.2. Finite Geometric Series/Source/1.2.3. Writing Geometric Series in Sigma Notation,48,48,10
690,PCL.1.2.4,1.2.4,Sums of Finite Geometric Series Given in Sigma Notation,1. Sequences and Series,1.2. Finite Geometric Series,1. Sequences and Series/1.2. Finite Geometric Series/Lessons/1.2.4. Sums of Finite Geometric Series Given in Sigma Notation.md,1. Sequences and Series/1.2. Finite Geometric Series/Source/1.2.4. Sums of Finite Geometric Series Given in Sigma Notation,49,49,11
1018,PCL.1.2.5,1.2.5,Solving Geometric Series Problems Using Exponential Equations and Inequalities,1. Sequences and Series,1.2. Finite Geometric Series,1. Sequences and Series/1.2. Finite Geometric Series/Lessons/1.2.5. Solving Geometric Series Problems Using Exponential Equations and Inequalities.md,1. Sequences and Series/1.2. Finite Geometric Series/Source/1.2.5. Solving Geometric Series Problems Using Exponential Equations and Inequalities,50,50,12
1019,PCL.1.2.6,1.2.6,Modeling With Geometric Series,1. Sequences and Series,1.2. Finite Geometric Series,1. Sequences and Series/1.2. Finite Geometric Series/Lessons/1.2.6. Modeling With Geometric Series.md,1. Sequences and Series/1.2. Finite Geometric Series/Source/1.2.6. Modeling With Geometric Series,51,51,13
