role,layer,course,topic-id,topic-number,topic-name,md-path,src-path
lesson,57,CA2,749,4.5.9,The Root Test,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.9. The Root Test.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.9. The Root Test
lesson,61,CA2,746,4.5.8,The Ratio Test,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.8. The Ratio Test.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.8. The Ratio Test
lesson,73,CA2,3560,4.7.2,Radius of Convergence of Power Series,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.7. Taylor Series/Lessons/4.7.2. Radius of Convergence of Power Series.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.7. Taylor Series/Source/4.7.2. Radius of Convergence of Power Series
prerequisite,25,MF2,3710,14.3.3,Factorials in Variable Expressions,vault/MA/Mathematical-Foundations/MF2/14. Probability & Combinatorics/14.3. Combinatorics/Lessons/14.3.3. Factorials in Variable Expressions.md,vault/MA/Mathematical-Foundations/MF2/14. Probability & Combinatorics/14.3. Combinatorics/Source/14.3.3. Factorials in Variable Expressions
prerequisite,28,MF1,1417,10.1.6,Combining the Rules of Exponents With Algebraic Expressions,vault/MA/Mathematical-Foundations/MF1/10. Exponential Functions/10.1. Rules of Exponents/Lessons/10.1.6. Combining the Rules of Exponents With Algebraic Expressions.md,vault/MA/Mathematical-Foundations/MF1/10. Exponential Functions/10.1. Rules of Exponents/Source/10.1.6. Combining the Rules of Exponents With Algebraic Expressions
prerequisite,33,MF3,982,1.4.4,Convergent and Divergent Infinite Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.4. Convergent and Divergent Infinite Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.4. Convergent and Divergent Infinite Series
prerequisite,34,MF2,436,6.1.5,Dividing Rational Expressions,vault/MA/Mathematical-Foundations/MF2/6. Radical & Rational Functions/6.1. Rational Expressions/Lessons/6.1.5. Dividing Rational Expressions.md,vault/MA/Mathematical-Foundations/MF2/6. Radical & Rational Functions/6.1. Rational Expressions/Source/6.1.5. Dividing Rational Expressions
prerequisite,42,MF3,1087,7.1.2,Limits of Sequences,vault/MA/Mathematical-Foundations/MF3/7. Limits & Continuity/7.1. Limits/Lessons/7.1.2. Limits of Sequences.md,vault/MA/Mathematical-Foundations/MF3/7. Limits & Continuity/7.1. Limits/Source/7.1.2. Limits of Sequences
prerequisite,43,MF3,1245,7.1.9,Determining Limits of Sequences Using Relative Magnitudes,vault/MA/Mathematical-Foundations/MF3/7. Limits & Continuity/7.1. Limits/Lessons/7.1.9. Determining Limits of Sequences Using Relative Magnitudes.md,vault/MA/Mathematical-Foundations/MF3/7. Limits & Continuity/7.1. Limits/Source/7.1.9. Determining Limits of Sequences Using Relative Magnitudes
prerequisite,57,CA2,1089,4.1.4,Limits of Sequences With Factorials,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.1. Sequences/Lessons/4.1.4. Limits of Sequences With Factorials.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.1. Sequences/Source/4.1.4. Limits of Sequences With Factorials
prerequisite,72,CA2,984,4.7.1,Radius of Convergence of Power Series Centered at the Origin,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.7. Taylor Series/Lessons/4.7.1. Radius of Convergence of Power Series Centered at the Origin.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.7. Taylor Series/Source/4.7.1. Radius of Convergence of Power Series Centered at the Origin
