topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
773,PAS.1.1.1,1.1.1,The Law of Total Probability,1. Probability & Random Variables,1.1. Probability,1. Probability & Random Variables/1.1. Probability/Lessons/1.1.1. The Law of Total Probability.md,1. Probability & Random Variables/1.1. Probability/Source/1.1.1. The Law of Total Probability,41,41,1
971,PAS.1.1.2,1.1.2,Extending the Law of Total Probability,1. Probability & Random Variables,1.1. Probability,1. Probability & Random Variables/1.1. Probability/Lessons/1.1.2. Extending the Law of Total Probability.md,1. Probability & Random Variables/1.1. Probability/Source/1.1.2. Extending the Law of Total Probability,42,42,2
3272,PAS.1.1.3,1.1.3,Bayes' Theorem,1. Probability & Random Variables,1.1. Probability,1. Probability & Random Variables/1.1. Probability/Lessons/1.1.3. Bayes' Theorem.md,1. Probability & Random Variables/1.1. Probability/Source/1.1.3. Bayes' Theorem,42,42,3
3286,PAS.1.1.4,1.1.4,Extending Bayes' Theorem,1. Probability & Random Variables,1.1. Probability,1. Probability & Random Variables/1.1. Probability/Lessons/1.1.4. Extending Bayes' Theorem.md,1. Probability & Random Variables/1.1. Probability/Source/1.1.4. Extending Bayes' Theorem,43,43,4
1341,PAS.1.2.1,1.2.1,Permutations With Repetition,1. Probability & Random Variables,1.2. Combinatorics,1. Probability & Random Variables/1.2. Combinatorics/Lessons/1.2.1. Permutations With Repetition.md,1. Probability & Random Variables/1.2. Combinatorics/Source/1.2.1. Permutations With Repetition,36,36,5
1342,PAS.1.2.2,1.2.2,K Permutations of N With Repetition,1. Probability & Random Variables,1.2. Combinatorics,1. Probability & Random Variables/1.2. Combinatorics/Lessons/1.2.2. K Permutations of N With Repetition.md,1. Probability & Random Variables/1.2. Combinatorics/Source/1.2.2. K Permutations of N With Repetition,35,35,6
1343,PAS.1.2.3,1.2.3,Combinations With Repetition,1. Probability & Random Variables,1.2. Combinatorics,1. Probability & Random Variables/1.2. Combinatorics/Lessons/1.2.3. Combinations With Repetition.md,1. Probability & Random Variables/1.2. Combinatorics/Source/1.2.3. Combinations With Repetition,36,36,7
1347,PAS.1.3.1,1.3.1,Probability Density Functions of Continuous Random Variables,1. Probability & Random Variables,1.3. Random Variables,1. Probability & Random Variables/1.3. Random Variables/Lessons/1.3.1. Probability Density Functions of Continuous Random Variables.md,1. Probability & Random Variables/1.3. Random Variables/Source/1.3.1. Probability Density Functions of Continuous Random Variables,69,69,8
4043,PAS.1.3.2,1.3.2,Calculating Probabilities With Continuous Random Variables,1. Probability & Random Variables,1.3. Random Variables,1. Probability & Random Variables/1.3. Random Variables/Lessons/1.3.2. Calculating Probabilities With Continuous Random Variables.md,1. Probability & Random Variables/1.3. Random Variables/Source/1.3.2. Calculating Probabilities With Continuous Random Variables,71,71,9
4100,PAS.1.3.3,1.3.3,Continuous Random Variables Over Infinite Domains,1. Probability & Random Variables,1.3. Random Variables,1. Probability & Random Variables/1.3. Random Variables/Lessons/1.3.3. Continuous Random Variables Over Infinite Domains.md,1. Probability & Random Variables/1.3. Random Variables/Source/1.3.3. Continuous Random Variables Over Infinite Domains,72,72,10
2163,PAS.1.3.4,1.3.4,Cumulative Distribution Functions for Continuous Random Variables,1. Probability & Random Variables,1.3. Random Variables,1. Probability & Random Variables/1.3. Random Variables/Lessons/1.3.4. Cumulative Distribution Functions for Continuous Random Variables.md,1. Probability & Random Variables/1.3. Random Variables/Source/1.3.4. Cumulative Distribution Functions for Continuous Random Variables,73,73,11
3024,PAS.1.3.5,1.3.5,"Median, Quartiles and Percentiles of Continuous Random Variables",1. Probability & Random Variables,1.3. Random Variables,"1. Probability & Random Variables/1.3. Random Variables/Lessons/1.3.5. Median, Quartiles and Percentiles of Continuous Random Variables.md","1. Probability & Random Variables/1.3. Random Variables/Source/1.3.5. Median, Quartiles and Percentiles of Continuous Random Variables",74,74,12
3025,PAS.1.3.6,1.3.6,Finding the Mode of a Continuous Random Variable,1. Probability & Random Variables,1.3. Random Variables,1. Probability & Random Variables/1.3. Random Variables/Lessons/1.3.6. Finding the Mode of a Continuous Random Variable.md,1. Probability & Random Variables/1.3. Random Variables/Source/1.3.6. Finding the Mode of a Continuous Random Variable,73,73,13
2994,PAS.1.3.7,1.3.7,Approximating Discrete Random Variables as Continuous,1. Probability & Random Variables,1.3. Random Variables,1. Probability & Random Variables/1.3. Random Variables/Lessons/1.3.7. Approximating Discrete Random Variables as Continuous.md,1. Probability & Random Variables/1.3. Random Variables/Source/1.3.7. Approximating Discrete Random Variables as Continuous,73,73,14
3867,PAS.1.3.8,1.3.8,Simulating Random Observations,1. Probability & Random Variables,1.3. Random Variables,1. Probability & Random Variables/1.3. Random Variables/Lessons/1.3.8. Simulating Random Observations.md,1. Probability & Random Variables/1.3. Random Variables/Source/1.3.8. Simulating Random Observations,74,74,15
3631,PAS.1.4.1,1.4.1,One-to-One Transformations of Discrete Random Variables,1. Probability & Random Variables,1.4. Functions of Random Variables,1. Probability & Random Variables/1.4. Functions of Random Variables/Lessons/1.4.1. One-to-One Transformations of Discrete Random Variables.md,1. Probability & Random Variables/1.4. Functions of Random Variables/Source/1.4.1. One-to-One Transformations of Discrete Random Variables,46,46,16
3647,PAS.1.4.2,1.4.2,Many-to-One Transformations of Discrete Random Variables,1. Probability & Random Variables,1.4. Functions of Random Variables,1. Probability & Random Variables/1.4. Functions of Random Variables/Lessons/1.4.2. Many-to-One Transformations of Discrete Random Variables.md,1. Probability & Random Variables/1.4. Functions of Random Variables/Source/1.4.2. Many-to-One Transformations of Discrete Random Variables,47,47,17
3055,PAS.1.4.3,1.4.3,The Distribution Function Method,1. Probability & Random Variables,1.4. Functions of Random Variables,1. Probability & Random Variables/1.4. Functions of Random Variables/Lessons/1.4.3. The Distribution Function Method.md,1. Probability & Random Variables/1.4. Functions of Random Variables/Source/1.4.3. The Distribution Function Method,74,74,18
3056,PAS.1.4.4,1.4.4,The Change-of-Variables Method for Continuous Random Variables,1. Probability & Random Variables,1.4. Functions of Random Variables,1. Probability & Random Variables/1.4. Functions of Random Variables/Lessons/1.4.4. The Change-of-Variables Method for Continuous Random Variables.md,1. Probability & Random Variables/1.4. Functions of Random Variables/Source/1.4.4. The Change-of-Variables Method for Continuous Random Variables,75,75,19
